tn_type,param_name,param_value,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,step_error,step_error_metric,E_L1,E_L2,Z1_log_error,Z_true_final
uniform1,jitter,0.05,200,40,200,0,98,0.9989274628301461,0.9988902475035879,0.9989646781567043,7.443065311640851e-05,0.012293473119048345,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,99,0.9989993974662943,0.9989646781567043,0.9990341167758842,6.943861917985128e-05,0.005113961693026695,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,100,0.9990665074753589,0.9990341167758842,0.9990988981748335,6.478139894938728e-05,0.027794251946488074,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,101,0.9991291164431358,0.9990988981748335,0.9991593347114381,6.043653660459114e-05,0.01085258362069343,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,102,0.9991875262526522,0.9991593347114381,0.9992157177938662,5.638308242805756e-05,0.005117977208200819,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,103,0.9992420185397617,0.9992157177938662,0.9992683192856573,5.26014917910933e-05,0.02332101645953337,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,104,0.999292856051115,0.9992683192856573,0.9993173928165727,4.9073530915433317e-05,0.0038919424466923418,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,105,0.9993402839110505,0.9993173928165727,0.9993631750055282,4.5782188955456604e-05,0.0014837336485869872,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,106,0.9993845308035159,0.9993631750055282,0.9994058866015035,4.2711595975353234e-05,0.020810714571418344,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,107,0.9994258100747186,0.9994058866015035,0.9994457335479336,3.9846946430110997e-05,0.0003848761981709685,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
