A,B,C,beta_idx,beta,rel_error
200,10,100,126,0.6331658291457286,1.8359428278179875
200,10,100,127,0.6381909547738693,5.7484894447119865
200,10,100,128,0.6432160804020101,3.8236535488334855
200,10,100,129,0.6482412060301508,3.9058210221660854
200,10,100,130,0.6532663316582915,14.125581794274284
200,10,100,131,0.6582914572864321,6.494571661885808
200,10,100,132,0.6633165829145728,14.754973503117215
200,10,100,133,0.6683417085427136,9.975642894449953
200,10,100,134,0.6733668341708543,7.7184732659089255
200,10,100,135,0.678391959798995,6.0027118229513645
200,10,100,136,0.6834170854271356,6.054045132339735
200,10,100,137,0.6884422110552764,0.17531096045348338
200,10,100,138,0.6934673366834171,5.955931747700255
200,10,100,139,0.6984924623115578,4.229306639471114
200,10,100,140,0.7035175879396985,12.726281380759964
200,10,100,141,0.7085427135678392,18.233772776937485
200,10,100,142,0.7135678391959799,8.203245306026231
200,10,100,143,0.7185929648241206,12.519902974352444
200,10,100,144,0.7236180904522613,12.820128763587077
200,10,100,145,0.7286432160804021,4.559758490157528
200,10,100,146,0.7336683417085427,5.429584678616688
200,10,100,147,0.7386934673366834,4.144401687688646
200,10,100,148,0.7437185929648241,4.499796769500184
200,10,100,149,0.7487437185929648,7.435131178050727
200,10,100,150,0.7537688442211056,9.101990345269327
200,10,100,151,0.7587939698492463,2.451032599905868
200,10,100,152,0.7638190954773869,6.705272037393501
200,10,100,153,0.7688442211055276,3.3271931072081777
200,10,100,154,0.7738693467336684,7.260934788650399
200,10,100,155,0.7788944723618091,10.417992563436973
200,10,100,156,0.7839195979899498,5.590631297551289
200,10,100,157,0.7889447236180904,8.112360176745712
200,10,100,158,0.7939698492462312,8.26050484865931
200,10,100,159,0.7989949748743719,6.45224997526045
200,10,100,160,0.8040201005025126,3.469975901472814
200,10,100,161,0.8090452261306533,5.261465256882237
200,10,100,162,0.8140703517587939,10.309045701054172
200,10,100,163,0.8190954773869347,12.26995126388239
200,10,100,164,0.8241206030150754,6.158328754689338
200,10,100,165,0.8291457286432161,4.413373346082935
200,10,100,166,0.8341708542713568,11.069564458590035
200,10,100,167,0.8391959798994975,13.853030564539637
200,10,100,168,0.8442211055276382,4.5589833951289105
200,10,100,169,0.8492462311557789,13.145142640216575
200,10,100,170,0.8542713567839196,8.310716208950007
200,10,100,171,0.8592964824120604,5.3997147023599235
200,10,100,172,0.864321608040201,4.72261395388299
200,10,100,173,0.8693467336683417,8.641518017701873
200,10,100,174,0.8743718592964824,5.616459068418549
200,10,100,175,0.8793969849246231,7.982669495855825
200,10,100,176,0.8844221105527639,9.225303792662856
200,10,100,177,0.8894472361809045,9.47342669027134
200,10,100,178,0.8944723618090452,10.156074682136026
200,10,100,179,0.8994974874371859,4.696483623182863
200,10,100,180,0.9045226130653267,6.603789424241927
200,10,100,181,0.9095477386934674,6.933229218400251
200,10,100,182,0.914572864321608,9.255310736177217
200,10,100,183,0.9195979899497487,6.212112550943987
200,10,100,184,0.9246231155778895,2.160599654831562
