A,B,C,trial,beta_idx,beta,true_ratio,est_ratio,geom_error_ratio
200,10,50,0,96,0.4824120603015075,0.9978929504161888,,0.011293889030293582
200,10,50,0,97,0.48743718592964824,0.9979527547848857,,0.011353817880062834
200,10,50,0,98,0.49246231155778897,0.9980107455544381,,0.011411925926185642
200,10,50,0,99,0.49748743718592964,0.9980669883924493,,0.011468279280636297
200,10,50,0,100,0.5025125628140703,0.9981215453972163,,0.011522940455026682
200,10,50,0,101,0.507537688442211,0.9981744754215224,,0.011575968687078919
200,10,50,0,102,0.5125628140703518,0.9982258343566888,,0.011627420227059322
200,10,50,0,103,0.5175879396984925,0.9982756753822458,,0.011677348589571727
200,10,50,0,104,0.5226130653266332,0.9983240491860553,,0.011725804775579763
200,10,50,0,105,0.5276381909547738,0.9983710041586696,,0.0117728374684736
200,10,50,0,106,0.5326633165829145,0.9984165865656126,,0.011818493207884874
200,10,50,0,107,0.5376884422110553,0.9984608407003346,,0.011862816544034567
200,10,50,0,108,0.542713567839196,0.9985038090204956,,0.011905850175274537
200,10,50,0,109,0.5477386934673367,0.9985455322697377,,0.011947635071005993
200,10,50,0,110,0.5527638190954774,0.9985860495867989,,0.011988210581838058
200,10,50,0,111,0.5577889447236181,0.9986253986036409,,0.012027614538673048
200,10,50,0,112,0.5628140703517588,0.9986636155339236,,0.012065883342052898
200,10,50,0,113,0.5678391959798995,0.9987007352531214,,0.012103052043083824
200,10,50,0,114,0.5728643216080402,0.9987367913712053,,0.01213915441685742
200,10,50,0,115,0.577889447236181,0.9987718162989182,,0.01217422302940974
200,10,50,0,116,0.5829145728643216,0.9988058413083204,,0.012208289298899935
200,10,50,0,117,0.5879396984924623,0.9988388965883506,,0.012241383551752914
200,10,50,0,118,0.592964824120603,0.9988710112959115,,0.012273535074290742
200,10,50,0,119,0.5979899497487438,0.9989022136030901,,0.012304772160454697
200,10,50,0,120,0.6030150753768845,0.9989325307408434,,0.012335122155959768
200,10,50,0,121,0.6080402010050251,0.9989619890396129,,0.012364611499346269
200,10,50,0,122,0.6130653266331658,0.9989906139671395,,0.012393265760198627
200,10,50,0,123,0.6180904522613065,0.9990184301638461,,0.012421109674909683
200,10,50,0,124,0.6231155778894473,0.999045461475928,,0.012448167180124287
200,10,50,0,125,0.628140703517588,0.999071730986504,,0.01247446144422083
200,10,50,0,126,0.6331658291457286,0.9990972610448963,,0.01250001489690253
200,10,50,0,127,0.6381909547738693,0.9991220732943036,,0.012524849257157375
200,10,50,0,128,0.6432160804020101,0.9991461886979611,,0.012548985559692322
200,10,50,0,129,0.6482412060301508,0.9991696275639349,,0.01257244417998058
200,10,50,0,130,0.6532663316582915,0.9991924095686728,,0.012595244858051177
200,10,50,0,131,0.6582914572864321,0.9992145537794028,,0.012617406721112476
200,10,50,0,132,0.6633165829145728,0.9992360786754653,,0.012638948305091295
200,10,50,0,133,0.6683417085427136,0.9992570021686676,,0.012659887575188041
200,10,50,0,134,0.6733668341708543,0.9992773416227535,,0.012680241945529235
200,10,50,0,135,0.678391959798995,0.9992971138719786,,0.012700028297917621
200,10,50,0,136,0.6834170854271356,0.9993163352389417,,0.012719262999828153
200,10,50,0,137,0.6884422110552764,0.9993350215516661,,0.012737961921640052
200,10,50,0,138,0.6934673366834171,0.999353188159964,,0.012756140453148995
200,10,50,0,139,0.6984924623115578,0.9993708499511902,,0.012773813519455186
200,10,50,0,140,0.7035175879396985,0.9993880213653469,,0.012790995596196106
200,10,50,0,141,0.7085427135678392,0.9994047164096257,,0.012807700724210652
200,10,50,0,142,0.7135678391959799,0.999420948672407,,0.012823942523648471
