tensor_type,n_sites,dim,N,A,B,C,seed,Z_est,Z_std,Z_true,rel_error,time_seconds
spikes,16,3,100000,100,25,40,11,1.713563986261138e+17,2.3954393507731472e+17,1.6829668154011603e+17,0.018180495646127347,1.3269281387329102
spikes,16,3,100000,100,25,40,23,1.5534464701682733e+17,1.224030420172774e+17,1.6829668154011603e+17,0.07695953600963541,1.5994811058044434
spikes,16,3,100000,100,25,40,42,1.5159277160904333e+17,2.5849189245490624e+17,1.6829668154011603e+17,0.0992527587484907,1.3341832160949707
spikes,16,3,100000,100,25,40,77,1.9296832068353805e+17,2.7809259586907405e+17,1.6829668154011603e+17,0.14659611180474263,1.4402499198913574
spikes,16,3,100000,100,25,40,101,1.0710204982482195e+17,9.427425064710755e+16,1.6829668154011603e+17,0.3636116360423151,1.424332618713379
spikes,16,3,100000,100,50,20,11,1.75599594001191e+17,3.945012449336634e+17,1.6829668154011603e+17,0.043393086507972634,1.2358112335205078
spikes,16,3,100000,100,50,20,23,1.1722936861680493e+17,2.6989743735766128e+17,1.6829668154011603e+17,0.30343624399473645,1.2211689949035645
spikes,16,3,100000,100,50,20,42,2.0959096400664154e+17,4.1900739433753754e+17,1.6829668154011603e+17,0.24536599348622565,1.2207541465759277
spikes,16,3,100000,100,50,20,77,9.650716629317552e+16,1.5836979959971722e+17,1.6829668154011603e+17,0.42656524531547824,1.2237019538879395
spikes,16,3,100000,100,50,20,101,1.638205978875303e+17,3.043737708505792e+17,1.6829668154011603e+17,0.026596386878363888,1.2465569972991943
spikes,16,3,100000,100,100,10,11,1.6186110706885635e+17,3.545048597796447e+17,1.6829668154011603e+17,0.0382394614817504,0.9823541641235352
spikes,16,3,100000,100,100,10,23,1.0512658391936502e+17,1.8814645242575402e+17,1.6829668154011603e+17,0.37534963281907296,0.9770591259002686
spikes,16,3,100000,100,100,10,42,1.9813339425119277e+17,7.460423313584922e+17,1.6829668154011603e+17,0.17728639945859365,0.975999116897583
spikes,16,3,100000,100,100,10,77,1.4106083718981968e+17,4.400745920949035e+17,1.6829668154011603e+17,0.1618323314580881,0.9757511615753174
spikes,16,3,100000,100,100,10,101,1.311208673383291e+17,2.7593012683944685e+17,1.6829668154011603e+17,0.22089451712050256,0.9764297008514404
spikes,16,3,100000,100,200,5,11,1.3843644147803251e+17,7.260010184588513e+17,1.6829668154011603e+17,0.17742619633867163,0.9604308605194092
spikes,16,3,100000,100,200,5,23,9.809973700055691e+16,3.493203155929702e+17,1.6829668154011603e+17,0.41710236884752017,0.9629981517791748
spikes,16,3,100000,100,200,5,42,2.322809836609539e+17,1.7145740268868163e+18,1.6829668154011603e+17,0.38018754461053494,0.9604418277740479
spikes,16,3,100000,100,200,5,77,1.6383165402094957e+17,1.1069363010920154e+18,1.6829668154011603e+17,0.026530692574007513,0.9595918655395508
spikes,16,3,100000,100,200,5,101,1.1696962973974938e+17,4.866206088333947e+17,1.6829668154011603e+17,0.30497958326131397,0.9619390964508057
spikes,16,3,100000,200,5,100,11,7.656181168033507e+16,5.20362213177326e+16,1.6829668154011603e+17,0.5450783046955955,1.5526368618011475
